Item,Internal Cod,Cod Vend,Description,Quantity,UM,Unit Price,Net Amount
1720,110480,800897142834,SFT MATTE LP CRM - STOCKHOLM,30.0,PC,2.6,78.0
1730,110483,8234000,SFT MATTE LP CRM - TOULOUSE,60.0,PC,2.6,156.0
1740,110486,800897829926,SFT MATTE LP CRM - ZURICH,30.0,PC,2.6,78.0
1750,117213,800897207243,SHINE LOUD PRO PGMNT LIP SHINE BOUN,30.0,PC,4.8,144.0
1760,117226,800897207373,SHINE LOUD PRO PGMNT LIP SHINE NEVE,30.0,PC,4.8,144.0
1770,117225,800897207366,SHINE LOUD PRO PGMNT LIP SHINE ON A,30.0,PC,4.8,144.0
1780,117215,800897207267,SHINE LOUD PRO PGMNT LIP SHINE OVER,30.0,PC,4.8,144.0
1790,117224,800897207359,SHINE LOUD PRO PGMNT LIP SHINE REBE,30.0,PC,4.8,144.0
1800,117841,800897217860,SHINE LOUD PRO PGMNT LP SHN DARING,30.0,PC,4.8,144.0
1810,117209,800897207205,SHINE LOUD PRO PGMNT LIP SHINE GOAL,30.0,PC,4.8,144.0
1820,115341,0,SHOUT LOUD LIPSTICK 1999,30.0,PC,0.0,0.0
1830,115316,0,SHOUT LOUD LIPSTICK 21ST,30.0,PC,0.0,0.0
1840,115326,800897198183,SHOUT LOUD LIPSTICK CACTUS DREAMS,30.0,PC,3.4,102.0
1850,115309,800897198084,SHOUT LOUD LIPSTICK CHIC,60.0,PC,3.4,204.0
1860,115318,0,SHOUT LOUD LIPSTICK DAY CLUB,30.0,PC,0.0,0.0
1870,115332,800897198213,SHOUT LOUD LIPSTICK EVERYONE LIES,30.0,PC,3.4,102.0
1880,115337,0,SHOUT LOUD LIPSTICK INTO THE NIGHT,30.0,PC,0.0,0.0
1890,115312,800897198107,SHOUT LOUD LIPSTICK LOVE IS A DRUG,60.0,PC,3.4,204.0
1900,115322,800897198176,SHOUT LOUD LIPSTICK THE BEST,30.0,PC,3.4,102.0
1910,115335,0,SHOUT LOUD LIPSTICK WIFE GOALS,30.0,PC,0.0,0.0
1920,119622,800897136086,SMOOTH WHP MATTE LP CRM CHERRY CRM,60.0,PC,3.2,192.0
1930,119623,800897136116,SMOOTH WHP MATTE LP CRM VELVET ROBE,30.0,PC,3.2,96.0
1940,119619,800897131197,SMOOTH WHP MATTE LP CRM BDAY FROSTI,30.0,PC,3.2,96.0
1950,119615,800897233730,SMOOTH WHP MATTE LP CRM BLANKIE,30.0,PC,3.2,96.0
1960,119617,800897131098,SMOOTH WHP MATTE LP CRM FAUX FUR,30.0,PC,3.2,96.0
1970,119618,800897131135,SMOOTH WHP MATTE LP CRM FUZZY SLIPP,30.0,PC,3.2,96.0
1980,119613,800897131050,SMOOTH WHP MATTE LP CRM KTTY BELLY,30.0,PC,3.2,96.0
1990,119614,800897131067,SMOOTH WHP MATTE LP CRM LATTE FOAM,60.0,PC,3.2,192.0
2000,119220,800897233785,SMOOTH WHP MATTE LP CRM MEMORY FOAM,30.0,PC,3.2,96.0
2010,119222,800897130895,SMOOTH WHP MATTE LP CRM PANCAKE STA,30.00,PC,3.20,96.00
2020,119616,800897131081,SMOOTH WHP MATTE LP CRM PARFAIT,60.00,PC,3.20,192.00
2030,119620,800897131203,SMOOTH WHP MATTE LP CRM PILLOW FIGH,30.00,PC,3.20,96.00
2040,119223,800897233273,SMOOTH WHP MATTE LP CRM POM POM,30.00,PC,3.20,96.00
2050,119615,800897131074,SMOOTH WHP MATTE LP CRM TEDDY FLUFF,60.00,PC,3.20,192.00
2060,110326,K3007200,SUEDE MATTE LIPSTICK SHADE 22,30.00,PC,3.20,96.00
2070,110309,K3005500,SUEDE MATTE LIPSTICK SHADE 05,30.00,PC,3.20,96.00
2080,114295,800897192150,SUEDE MATTE LIPSTICK-CHERRY SKIES,30.00,PC,3.20,96.00
2090,110311,K3005700,SUEDE MATTE LIPSTICK SHADE 07,30.00,PC,3.20,96.00
2100,110314,K3006000,SUEDE MATTE LIPSTICK SHADE 10,30.00,PC,3.20,96.00
2110,110310,K3005600,SUEDE MATTE LIPSTICK SHADE 06,60.00,PC,3.20,192.00
2120,110318,K3006400,SUEDE MATTE LIPSTICK SHADE 14,60.00,PC,3.20,192.00
2130,110315,K3006100,SUEDE MATTE LIPSTICK SHADE 11,30.00,PC,3.20,96.00
2140,108471,800897818494,BUTR GLOSS - CREME BRULEE,30.00,PC,2.00,60.00
2150,108743,800897828431,BUTR GLOSS - DEVILS FOOD CAKE,60.00,PC,2.00,120.00
2160,108748,800897818586,BUTR GLOSS - MADELEINE,30.00,PC,2.40,72.00
2170,108755,800897828370,BUTR GLOSS - PRALINE,144.00,PC,2.40,345.60
